Lp,Data dokonania wpisu,Postanowienie wzorca umowy uznane za niedozwolone,niedozwolone_regex
6507,22 VII 16,"""W przypadku podejrzenia podania nieprawdziwych lub wadliwych danych, Spółka zastrzega sobie prawo do odmowy lub wstrzymania realizacji zamówienia""","""W przypadku podejrzenia podania nieprawdziwych lub wadliwych danych, Spółka zastrzega sobie prawo do odmowy lub wstrzymania realizacji zamówienia"""
6508,22 VII 16,"""Zwracany towar należy odesłać […] wraz z otrzymanym paragonem lub fakturą […]. Koszt wysłania […] towaru nie podlega zwrotowi""","""Zwracany towar należy odesłać.*wraz z otrzymanym paragonem lub fakturą.*Koszt wysłania.*towaru nie podlega zwrotowi"""
6509,22 VII 16,"""Wraz z towarem należy odesłać dowód zakupu (paragon fiskalny lub faktura VAT)""","""Wraz z towarem należy odesłać dowód zakupu.*"""
6510,22 VII 16,"""Wymiana rozpatrywana jest tylko i wyłącznie na podstawie oryginalnego paragonu bądź faktury VAT""","""Wymiana rozpatrywana jest tylko i wyłącznie na podstawie oryginalnego paragonu bądź faktury VAT"""
6512,22 VII 16,"""W przypadku nieuzasadnionej reklamacji lub uszkodzenia towaru z winy użytkownika wszelkie koszty pokrywa Klient""","""W przypadku nieuzasadnionej reklamacji lub uszkodzenia towaru z winy użytkownika wszelkie koszty pokrywa Klient"""
6513,22 VII 16,"""Sklep eButy zastrzega sobie prawo odmowy realizacji zamówienia w przypadku wystąpienia istotnych błędów na stronach sklepu""","""Sklep.*zastrzega sobie prawo odmowy realizacji zamówienia w przypadku wystąpienia istotnych błędów na stronach sklepu"""
6514,9 VIII 16,"""W przypadku zwrotu towar należy odesłać na adres siedziby firmy i podać numer rachunku bankowego na który ma wpłynąć zwrot pieniędzy za zakupiony towar. Do zwrotu koniecznie dołącz fakturę""","""W przypadku zwrotu towar należy odesłać na adres siedziby firmy i podać numer rachunku bankowego na który ma wpłynąć zwrot pieniędzy za zakupiony towar. Do zwrotu koniecznie dołącz fakturę"""
6515,9 VIII 16,"""Wszelkie spory wynikłe w związku z realizowaniem umów kupna-sprzedaży między sklepem a konsumentami będą rozstrzygane w pierwszej kolejności na drodze negocjacji, z intencją polubownego zakończenia sporu. Jeśli jednak nie byłoby to możliwe, lub też byłoby niesatysfakcjonujące dla którejkolwiek ze stron wszelkie spory będą rozstrzygane przez sąd właściwy dla siedziby pozwanego""","""Wszelkie spory wynikłe w związku z realizowaniem umów kupna-sprzedaży między sklepem a konsumentami będą rozstrzygane w pierwszej kolejności na drodze.*"""
6516,9 VIII 16,"""Zastrzegamy sobie prawo do niezrealizowania zamówień z ważnych powodów ekonomicznych""","""Zastrzegamy sobie prawo do niezrealizowania zamówień z ważnych powodów ekonomicznych"""
6517,9 VIII 16,"""Podczas odbioru paczki należy ją rozpakować i sprawdzić czy produkty są w stanie nienaruszonym. Kurier ma obowiązek poczekać aż Klient sprawdzi zawartość paczki. W przypadku uszkodzenia części lub całości towaru należy spisać protokół, na którego podstawie możliwa jest dalsza reklamacja. Bez spisanego protokołu reklamacja dotycząca uszkodzenia paczki podczas transportu nie będzie uwzględniona""","""Podczas odbioru paczki należy ją rozpakować i sprawdzić czy produkty są w stanie nienaruszonym. Kurier.*"""
6521,9 VIII 16,"""Wszelkie spory związane z usługami świadczonymi przez Sklep ""Meblowy Raj"" s.c. w ramach serwisu najlepszemeble.pl będą rozstrzygane przez właściwe miejscowo ze względu na siedzibę właściciela serwisu polskie sądy powszechne""","""Wszelkie spory związane z usługami świadczonymi przez.*w ramach serwisu.*będą rozstrzygane przez właściwe miejscowo ze względu na siedzibę właściciela serwisu polskie sądy powszechne"""
6522,9 VIII 16,"""Przyjęcie przez Klienta przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu ubytku lub uszkodzenia mechanicznego. Jeżeli Klient nie sporządzi wspólnie z przewoźnikiem protokołu szkodowego na tę okoliczność w momecnie odbioru przesyłki, droga reklamacji zostanie zamknięta""","""Przyjęcie przez Klienta przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu ubytku lub uszkodzenia mechanicznego. Jeżeli Klient nie sporządzi wspólnie z przewoźnikiem protokołu szkodowego na tę okoliczność w momecnie odbioru przesyłki, droga reklamacji zostanie zamknięta"""
6523,9 VIII 16,"""Złożenie zamówienia jest równoznaczne z akceptacją postanowień""","""Złożenie zamówienia jest równoznaczne z akceptacją postanowień"""
6524,9 VIII 16,"""Wooltex-Tedex zastrzega sobie prawo do zmiany niniejszego regulaminu bez uprzedzenia""",""".*zastrzega sobie prawo do zmiany niniejszego regulaminu bez uprzedzenia"""
6525,9 VIII 16,"""Zwracany towar, nie używany, bez śladów wizualnych i zapachowych, należy odesłać oryginalnym opakowaniu oraz oświadczeniem zwrotu""","""Zwracany towar, nie używany, bez śladów wizualnych i zapachowych, należy odesłać oryginalnym opakowaniu oraz oświadczeniem zwrotu"""
6526,9 VIII 16,"""Uwaga! Bez paragonu fiskalnego towar nie podlega zwrotowi""",""".*Bez paragonu fiskalnego towar nie podlega zwrotowi"""
6528,9 VIII 16,"""Towar zwrócony nie może mieć śladów używania: nie może być otwierany, uszkodzony lub pozbawiony oryginalnego opakowania""","""Towar zwrócony nie może mieć śladów używania: nie może być otwierany, uszkodzony lub pozbawiony oryginalnego opakowania"""
6529,9 VIII 16,"""Towar powinien wrócić w takim stanie w jakim został zakupiony, w oryginalnym opakowaniu wraz z paragonem lub fakturą, z kserokopią dowodu zapłaty (w przypadku przesyłki płatnej przy odbiorze), instrukcją i gwarancją (jeżeli taka jest). (Dz. U. z dnia 31 marca 2000 r.)""","""Towar powinien wrócić w takim stanie w jakim został zakupiony.*"""
6538,19 VIII 16,"""Sklep zwraca wyłącznie cenę zakupionego towaru, bez uwzględnienia kosztów przesyłki""","""Sklep zwraca wyłącznie cenę zakupionego towaru, bez uwzględnienia kosztów przesyłki"""
6540,19 VIII 16,"""W przypadku reklamacji dotyczących uszkodzeń mechanicznych w trakcie transportu będą one uwzględnione jedynie po sprawdzeniu przesyłki w chwili jej odbioru. Warunkiem przyjęcia tego typu reklamacji jest protokół reklamacyjny spisany razem z kurierem dostarczającym przesyłkę""","""W przypadku reklamacji dotyczących uszkodzeń mechanicznych w trakcie transportu będą one uwzględnione jedynie.*"""
6541,19 VIII 16,"""Komstal zastrzega iż asortyment oraz ceny poszczególnych produktów mogą ulec zmianie w czasie od chwili złożenia zamówienia do chwili zawarcia umowy. Chwilę zawarcia umowy nazywamy moment oświadczenia woli obu stron, z którego wynika decyja osiągnięcia określonego skutku w sferze poddanej regulacji prawnej - kupna/sprzedaży""","""Komstal zastrzega iż asortyment oraz ceny poszczególnych produktów mogą ulec zmianie w czasie od chwili złożenia zamówienia do chwili zawarcia umowy. Chwilę zawarcia umowy nazywamy moment oświadczenia woli obu stron, z którego wynika decyja osiągnięcia określonego skutku w sferze poddanej regulacji prawnej - kupna/sprzedaży"""
6542,19 VIII 16,"""Klient zobowiązany jest do sprawdzenia przesyłki, czy przesyłka w pełni zgadza się ze złożonym zamówieniem. Warunkiem rozpatrzenia reklamacji ilościowej bądź jakościowej jest spisanie w obecności pracownika firmy kurierskiej ""Protokołu Reklamacji""""","""Klient zobowiązany jest do sprawdzenia przesyłki, czy przesyłka w pełni zgadza się ze złożonym zamówieniem. Warunkiem rozpatrzenia reklamacji.*"""
6543,19 VIII 16,"""Udział w aukcji oznacza zapoznanie się z zasadami oraz ich akceptację""","""Udział w aukcji oznacza zapoznanie się z zasadami oraz ich akceptację"""
6544,19 VIII 16,"""Warunkiem przyjęcia zwrotu jest odesłanie towaru na adres: Sklep Obuwniczy ""MIRIAM"" ul. Rynek 5, 33-300 Nowy Sącz, w stanie nienaruszonym (tzn. towar musi być nieużywany i nieuszkodzony), w oryginalnym opakowaniu wraz z oryginalnym dowodem zakupu (faktura lub paragon). Jakiekolwiek ślady użytkowania towaru uniemożliwiają wymianę bądź zwrot (pudełko jest także częścią towaru, więc należy je zwrócić w stanie nienaruszonym) w przeciwnym wypadku Kupujący zostanie obciążony kwotą w wysokości 10 zł""","""Warunkiem przyjęcia zwrotu jest odesłanie towaru na adres.*w stanie nienaruszonym.* Jakiekolwiek ślady.*"""
6545,19 VIII 16,"""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby Sklepu""","""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby Sklepu"""
6546,19 VIII 16,"""W przypadku reklamacji dotyczacej uszkodzeń mechanicznych powstałych podczas transportu, prosimy o spisanie w obecności doręczyciela stosownego protokołu szkody. Następnie prosimy o przesłanie zakupionego towaru wraz z protokołem na adres podany w punkcie 3. Reklamacje nie zawierające protokołu nie będą rozpatrywane""","""W przypadku reklamacji dotyczacej uszkodzeń mechanicznych powstałych podczas transportu, prosimy o spisanie w obecności doręczyciela stosownego protokołu szkody. Następnie prosimy o przesłanie zakupionego towaru wraz z protokołem na adres.*"""
6547,19 VIII 16,"""Jeżeli zwrot nastąpi w przeciągu tych 10 dni gwarantujemy zwrot całej kwoty zapłaconej za towar przelewem na rachunek klienta""","""Jeżeli zwrot nastąpi w przeciągu.*gwarantujemy zwrot całej kwoty zapłaconej za towar przelewem na rachunek klienta"""
6548,19 VIII 16,"""V. Dostawa 5.4 Podczas odbioru przesyłki przez Klienta należy sprawdzić kompletność zawartości przesyłki i w przypadku stwierdzenia uszkodzenia mechanicznego lub niekompletności zawartości przesyłki. Klient zobowiązany jest spisać protokół szkody w obecności kuriera. Protokół musi być sporządzony w dwóch jednobrzmiących egzemplarzach i podpisany przez kuriera i Klienta""",""".*Podczas odbioru przesyłki przez Klienta należy sprawdzić kompletność zawartości przesyłki i w przypadku stwierdzenia uszkodzenia mechanicznego lub niekompletności zawartości przesyłki. Klient zobowiązany jest spisać protokół szkody w obecności kuriera. Protokół musi być sporządzony w dwóch jednobrzmiących egzemplarzach i podpisany przez kuriera i Klienta"""
6549,19 VIII 16,"""Firma Komstal zastrzega sobie prawo do niezrealizowania zamówienia, jeśli cena jest wynikiem pomyłki lub z innych powodów ekonomicznych. Informacje o towarach zamieszczone na stronie Sklepu nie stanowią oferty w rozumieniu kodeksu cywilnego""","""Firma.*zastrzega sobie prawo do niezrealizowania zamówienia, jeśli cena jest wynikiem pomyłki lub z innych powodów ekonomicznych. Informacje o towarach zamieszczone na stronie Sklepu nie stanowią oferty w rozumieniu kodeksu cywilnego"""
6550,19 VIII 16,"""Sklep nie ponosi odpowiedzialności za opóźnienia spowodowane zaniedbaniem firmy transportowej""","""Sklep nie ponosi odpowiedzialności za opóźnienia spowodowane zaniedbaniem firmy transportowej"""
6551,19 VIII 16,"""Sklep internetowy jbpartner.pl nie ponosi odpowiedzialności za niezrealizowanie zamówienia z przyczyn od niego niezależnych np. wadliwego działania sieci Internet lub nagłego wyczerpania zapasów magazynowych u dostawców""","""Sklep internetowy.*nie ponosi odpowiedzialności za niezrealizowanie zamówienia z przyczyn od niego niezależnych np. wadliwego działania sieci Internet lub nagłego wyczerpania zapasów magazynowych u dostawców"""
6554,29 VIII 16,"""Właściciel zastrzega sobie prawo do zmiany regulaminu bez podania przyczyn i bez wcześniejszych uprzedzeń. Zmiany te będą publikowane na bieżąco na łamach serwisu. Po zmianie każdy Użytkownik ma obowiązek zapoznania się z nowym regulaminem. Jeśli go nie zaakceptuje, to powinien zaprzestać korzystania z serwisu jako Użytkownik i powiadomić o tym fakcie Właściciela aby usunął jego konto""","""Właściciel zastrzega sobie prawo do zmiany regulaminu bez podania przyczyn i bez wcześniejszych uprzedzeń. Zmiany te będą publikowane na bieżąco na łamach serwisu. Po zmianie każdy Użytkownik ma obowiązek zapoznania się z nowym regulaminem. Jeśli go nie zaakceptuje, to powinien zaprzestać korzystania z serwisu jako Użytkownik i powiadomić o tym fakcie Właściciela aby usunął jego konto"""
6556,29 VIII 16,"""Koszty przesyłki oraz inne koszty uboczne transakcji poniesione przez kupującego przy zakupie mogą zostać zwrócone. Jest to jednak tylko i wyłącznie dobra wola sklepu BE-LUX i sklep zastrzega sobie prawo do odmówienia w/w transakcji""","""Koszty przesyłki oraz inne koszty uboczne transakcji poniesione przez kupującego przy zakupie mogą zostać zwrócone. Jest to jednak tylko i wyłącznie dobra wola sklepu.* sklep zastrzega sobie prawo do odmówienia w/w transakcji"""
6557,29 VIII 16,"""Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla siedziby sklepu""","""Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla siedziby sklepu"""
6558,29 VIII 16,"""W przypadku zawarcia przez Zamawiającego (…) umowy sprzedaży/zamiany/najmu wskazanej nieruchomości z pominięciem Pośrednika, Zamawiający zapłaci Pośrednikowi, oprócz wynagodzenia, karę umowną w wysokości 2% (słownie dwa i pół procent) od ceny ofertowej (...), a w przypadku braku zapłaty w terminie zobowiązuje się pokryć koszty windykacji""","""W przypadku zawarcia przez Zamawiającego.*umowy sprzedaży/zamiany/najmu wskazanej nieruchomości z pominięciem Pośrednika, Zamawiający zapłaci Pośrednikowi, oprócz wynagodzenia, karę umowną w wysokości.* a w przypadku braku zapłaty w terminie zobowiązuje się pokryć koszty windykacji"""
6562,29 VIII 16,"""Odbierając towar konsument jest bezwzględnie zobowiązany do sprawdzenia, czy przesyłka nie posiada uszkodzeń oraz czy jej zawartość, ilość i jakość jest zgodna z zamówieniem konsument zobowiązany jest do spisania w obecności kuriera Protokołu Szkody. Sprawdzenie przesyłki jest niezbędnym warunkiem uwzględnienia ewentualnych roszczeń""","""Odbierając towar konsument jest bezwzględnie zobowiązany do sprawdzenia, czy przesyłka nie posiada uszkodzeń oraz czy jej zawartość, ilość i jakość jest zgodna z zamówieniem konsument zobowiązany jest do spisania w obecności kuriera Protokołu Szkody. Sprawdzenie przesyłki jest niezbędnym warunkiem uwzględnienia ewentualnych roszczeń"""
6563,29 VIII 16,"""Sklep gwarantuje zwrot równy cenie towaru pomniejszony o poniesione koszty transportu. Koszt dostawy (…) nie podlega zwrotowi""","""Sklep gwarantuje zwrot równy cenie towaru pomniejszony o poniesione koszty transportu. Koszt dostawy.*nie podlega zwrotowi"""
6564,29 VIII 16,"""Sklep wyprzedaże.com zastrzega sobie prawo do ewentualnych błędów""",""".*zastrzega sobie prawo do ewentualnych błędów"""
6565,29 VIII 16,"""Złożenie zamówienia traktowane jest jako akceptację powyższego regulaminu""","""Złożenie zamówienia traktowane jest jako akceptację powyższego regulaminu"""
6566,29 VIII 16,"""Rejestracja i złożenie zamówienia w sklepie Austrovin jest jednoznaczna z pełną akceptacją REGULAMINU""","""Rejestracja i złożenie zamówienia w sklepie.*jest jednoznaczna z pełną akceptacją.*"""
6567,29 VIII 16,"""W celu uniknięcia wątpliwości strony postanawiają, iż obowiązek zwrotu zadatku w podwójnej wysokości nie dotyczy przypadku nie wywiązania się z umowy przez SPRZEDAJĄCEGO jeżeli wynika to z przyczyn leżących po stronie innych podmiotów niż SPRZEDAJĄCY, w tym producentów, dostawców, przewoźników oraz działań służb państwowych, w szczególności celnych""","""W celu uniknięcia wątpliwości strony postanawiają, iż obowiązek zwrotu zadatku w podwójnej wysokości nie dotyczy przypadku nie wywiązania się z umowy przez SPRZEDAJĄCEGO jeżeli wynika to z przyczyn leżących po stronie innych podmiotów niż SPRZEDAJĄCY, w tym producentów, dostawców, przewoźników oraz działań służb państwowych, w szczególności celnych"""
6568,29 VIII 16,"""Zwrot należności, zamawiający otrzyma w terminie 7 dni od otrzymania przez sklep zwrotu towarów. Zwrot zostanie przelany na nr konta wskazany w oświadczeniu.W/w zwrot należności nie dotyczy kosztów przesyłki.""","""Zwrot należności, zamawiający otrzyma w terminie.*od otrzymania przez sklep zwrotu towarów. Zwrot zostanie przelany na nr konta wskazany w oświadczeniu.W/w zwrot należności nie dotyczy kosztów przesyłki."""
6569,29 VIII 16,"""W terminie 7 dni od sprawdzenia towaru Sklep zwraca Klientowi zapłaconą kwotę za produkt/produkty, pomniejszoną o koszty realizacji zamówienia, czyli pakowanie i transport. Klient powinien wskazać numer rachunku bankowego, na jaki ma zostać przelana zwracana kwota""","""W terminie.*od sprawdzenia towaru Sklep zwraca Klientowi zapłaconą kwotę za produkt/produkty, pomniejszoną o koszty realizacji zamówienia, czyli pakowanie i transport. Klient powinien wskazać numer rachunku bankowego, na jaki ma zostać przelana zwracana kwota"""
6570,29 VIII 16,"""Reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu będą rozpatrywane tylko w momencie odbioru przesyłki w obecności dostawcy towaru. Warunkiem przyjęcia tego typu reklamacji będzie spisanie wraz z dostawcą protokołu reklamacyjnego""","""Reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu będą rozpatrywane tylko w momencie odbioru przesyłki w obecności dostawcy towaru. Warunkiem przyjęcia tego typu reklamacji będzie spisanie wraz z dostawcą protokołu reklamacyjnego"""
6571,29 VIII 16,"""Sklep nie przyjmuje żadnych przesyłek odsyłanych za pobraniem""","""Sklep nie przyjmuje.*przesyłek odsyłanych za pobraniem"""
6572,29 VIII 16,"""Pieniądze zostaną zwrócone (…) przelewem bankowym na konto wskazane przez klienta, (..), pod warunkiem spełnienia wymagań wymienionych w punkcie 2. Zwroty pieniędzy dokonywane są wyłącznie na rachunki bankowe""","""Pieniądze zostaną zwrócone.*przelewem bankowym na konto wskazane przez klienta.* Zwroty pieniędzy dokonywane są wyłącznie na rachunki bankowe"""
6573,29 VIII 16,"""(…) koszty przesyłki związane z reklamacją pokrywa sklep według cennika krajowego na usługi powszechne Poczty Polskiej""",""".*koszty przesyłki związane z reklamacją pokrywa sklep według cennika krajowego.*"""
6574,29 VIII 16,"""Sklep www.dd-company.pl zastrzega sobie prawo do ewentualnych błędów""","""Sklep.*zastrzega sobie prawo do ewentualnych błędów"""
6575,29 VIII 16,"""Składając zamówienie Nabywca akceptuje powyższy regulamin""","""Składając zamówienie.*akceptuje powyższy regulamin"""
6576,30 VIII 16,"""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby pozwanego""","""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby pozwanego"""
6577,30 VIII 16,"""W przypadku korzystania z wyżej wymienionego prawa zwracany towar należy odesłać (…) włącznie z ubezpieczeniem przesyłki (…). Zwracany towar zostanie przyjęty tylko i wyłącznie wtedy, gdy: (…) Produkt oraz akcesoria będą nieuszkodzone bez jakichkolwiek śladów ich użytkowania""","""W przypadku korzystania z wyżej wymienionego prawa zwracany towar należy odesła.* włącznie z ubezpieczeniem przesyłk.* Zwracany towar zostanie przyjęty tylko i wyłącznie wtedy.*rodukt oraz akcesoria będą nieuszkodzone bez jakichkolwiek śladów ich użytkowania"""
6578,30 VIII 16,"""Sklep www.sklep.vit-mot.pl (…) nie ponosi odpowiedzialności za nieterminowe dostarczenie paczek przez firmę, której zlecono dostarczenie""","""Sklep.*nie ponosi odpowiedzialności za nieterminowe dostarczenie paczek przez firmę, której zlecono dostarczenie"""
6581,30 VIII 16,"""Spory jakie mogą pojawić się między stronami, będzie rozstrzygał sąd właściwy miejscowo dla siedziby firmy Sprzedającego""","""Spory jakie mogą pojawić się między stronami, będzie rozstrzygał sąd właściwy miejscowo dla siedziby firmy Sprzedającego"""
6583,30 VIII 16,"""Sprzedawca zapewnia, że dane zawarte w formularzu rejestracyjnym zgodnie z ustawą o ochronie danych osobowych będą służyły wyłącznie do celów związanych z prowadzoną przez sprzedawcę działanością gospodarczą""","""Sprzedawca zapewnia, że dane zawarte w formularzu rejestracyjnym zgodnie z ustawą o ochronie danych osobowych będą służyły wyłącznie do celów związanych z prowadzoną przez sprzedawcę działanością gospodarczą"""
6584,30 VIII 16,"""Sprzedawca nie ponosi odpowiedzialności za niedostarczenie zakupionego towaru Użytkowikowi (…) spowodowane podaniem przez Użytkownika błędnego lub niepełnego adresu do wysyłki""","""Sprzedawca nie ponosi odpowiedzialności za niedostarczenie zakupionego towaru.*spowodowane podaniem przez.*błędnego lub niepełnego adresu do wysyłki"""
6585,5 IX 16,"""Reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu będą rozpatrywane tylko na podstawie protokołu reklamacyjnego spisanego w obecności doręczyciela. UWAGA: sprawdź zawartość przesyłki w obecności kuriera!""","""Reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu będą rozpatrywane tylko na podstawie protokołu reklamacyjnego spisanego w obecności doręczyciela.*"""
6586,5 IX 16,"""Sklep zastrzega sobie prawo zmiany cen, o czym Klient zostanie niezwłocznie poinformowany""","""Sklep zastrzega sobie prawo zmiany cen, o czym.*zostanie niezwłocznie poinformowany"""
6587,5 IX 16,"""Towar reklamowany powinien być czysty. W przeciwnym wypadku zastrzegamy sobie prawo do odmówienia przyjęcia reklamacji""","""Towar reklamowany powinien być czysty. W przeciwnym wypadku zastrzegamy sobie prawo do odmówienia przyjęcia reklamacji"""
6588,5 IX 16,"""Warunkiem przyjęcia zwrotu jest dostarczenie produktu w nienaruszonym stanie i w oryginalnym opakowaniu wraz z dowodem sprzedaży (…)""","""Warunkiem przyjęcia zwrotu jest dostarczenie produktu w nienaruszonym stanie i w oryginalnym opakowaniu wraz z dowodem sprzedaży.*"""
6589,5 IX 16,"""Podczas odbioru towaru Klient zobowiązany jest do sprawdzenia zgodności towaru z zamówieniem oraz stanu technicznego otrzymanego towaru. W sytuacji, gdy towar nie jest zgodny z zamówieniem lub został uszkodzony w trakcie transportu należy spisać odnośny protokół i nie przyjmować towaru. W innych przypadkach reklamacje nie będą uwzględniane""","""Podczas odbioru towaru.*zobowiązany jest do sprawdzenia zgodności towaru z zamówieniem oraz stanu technicznego otrzymanego towaru. W sytuacji, gdy towar nie jest zgodny z zamówieniem lub został uszkodzony w trakcie transportu należy spisać odnośny protokół i nie przyjmować towaru. W innych przypadkach reklamacje nie będą uwzględniane"""
6590,5 IX 16,"""Ponieważ jednak decyzję o uprawnieniu do danego rodzaju odprawy celnej importowanych samochodów wydają właściwe urzędy państwowe, sprzedawca nie ponosi żadnej odpowiedzialności za skutki związane z podjętymi w tym zakresie decyzjami tych urzędów""","""Ponieważ jednak decyzję o uprawnieniu do danego rodzaju odprawy celnej importowanych samochodów wydają właściwe urzędy państwowe, sprzedawca nie ponosi żadnej odpowiedzialności za skutki związane z podjętymi w tym zakresie decyzjami tych urzędów"""
6598,22 IX 16,"""Ewentualne spory rozpatrywane będą przez sąd właściwy dla miejsca zamieszkania pozwanego lub miejsca wykonania umowy""","""Ewentualne spory rozpatrywane będą przez sąd właściwy dla miejsca zamieszkania pozwanego lub miejsca wykonania umowy"""
6599,22 IX 16,"""Zwracany w tym trybie towar zostanie przyjęty tylko i wyłącznie wtedy, gdy będzie odesłany w oryginalnym, nieuszkodzonym opakowaniu (…)""","""Zwracany w tym trybie towar zostanie przyjęty tylko i wyłącznie wtedy, gdy będzie odesłany w oryginalnym, nieuszkodzonym opakowaniu.*"""
6600,22 IX 16,"""Sklep twoje-dywaniki.pl nie odpowiada za opóźnienia w dostawie spowodowane niewywiązywaniem się przez firmy kurierskie z umów obsługi przewozowej i pocztowej""","""Sklep.*nie odpowiada za opóźnienia w dostawie spowodowane niewywiązywaniem się przez firmy kurierskie z umów obsługi przewozowej i pocztowej"""
6601,22 IX 16,"""Zwracany towar należy odesłać wraz z oryginałem paragonu fiskalnego lub ksero faktury""","""Zwracany towar należy odesłać wraz z oryginałem paragonu fiskalnego lub ksero faktury"""
